pitcher,player_name,Handedness,year,player_age,n,p_formatted_ip,p_k_percent,p_bb_percent,xwoba,xwobacon,z_swing_miss_percent,in_zone_percent,whiff_percent,groundballs_percent,flyballs_percent,n_fastball_formatted,N_FB,Rel_X_FB,Rel_Z_FB,Extension_FB,Max_Velo_FB,Avg_Velo_FB,Spin_FB,H_Break_FB,V_Break_FB,xwOBA_FB,SwStr_FB,CSW_FB,n_offspeed_formatted,n_ch_formatted,N_CH,Rel_X_CH,Rel_Z_CH,Extension_CH,Max_Velo_CH,Avg_Velo_CH,Spin_CH,H_Break_CH,V_Break_CH,xwOBA_CH,SwStr_CH,CSW_CH,n_breaking_formatted.x.x,n_sl_formatted,N_SL,Rel_X_SL,Rel_Z_SL,Extension_SL,Max_Velo_SL,Avg_Velo_SL,Spin_SL,H_Break_SL,V_Break_SL,xwOBA_SL,SwStr_SL,CSW_SL,n_breaking_formatted.x.y,n_cukc_formatted,N_CB,Rel_X_CB,Rel_Z_CB,Extension_CB,Max_Velo_CB,Avg_Velo_CB,Spin_CB,H_Break_CB,V_Break_CB,xwOBA_CB,SwStr_CB,CSW_CB
645261,Sandy Alcantara,R,2019,24,3090,197.1,18,9.7,0.322,0.351,16.4,47.5,23.8,45.5,24.1,57.7,933,-2.4319,5.9901,5.727,99.3,95.62165059,2351,-0.7725,1.2556,0.216,0.067524116,0.214362272,12.1,12.1,372,-2.33075,6.0362,5.869,92.2,89.07473118,1898,-1.35995,0.39175,0.202,0.171122995,0.245989305,30,21.4,579,-2.4127,5.929,5.399,90.8,86.02020725,2472,0.3303,0.1432,0.284,0.134036145,0.335843373,30,8.6,249,-2.3245,6.0266,5.108,87.5,81.93212851,2461,0.4614,-0.4183,0.125,0.101503759,0.304511278
433586,Santiago Casilla,R,2017,37,1018,59,22,8.5,0.322,0.37,18.4,47.9,27,39.7,24.1,62.1,633,-2.2722,5.6977,6.352,96.8,93.89826224,2326,-1.2233,1.1255,0.263,0.08044164,0.242902208,4.8,4.8,49,-2.5466,5.6224,6.41,89.3,87.6755102,2117,-1.4799,0.788,0.164,0.265306122,0.387755102,33,11.4,116,-2.6557,5.60085,6.222,93.3,89.47155172,2421.5,-0.1185,0.8988,0.231,0.128205128,0.282051282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433586,Santiago Casilla,R,2016,36,940,58,27,7.9,0.293,0.362,16,42.4,25.9,50,19.1,54.4,484,-2.15545,5.7229,6.4775,97.1,94.23016529,2344,-1.222458333,1.1288,0.263,0.08044164,0.242902208,2.4,2.4,23,-2.5321,5.6426,6.523,89.2,87.34347826,2090,-1.50775,0.820633333,0.164,0.265306122,0.387755102,43,17.1,149,-2.4053,5.6252,6.315,92.5,89.3590604,2416,-0.136958333,0.9267,0.231,0.128205128,0.282051282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518397,Scott Alexander,L,2017,28,1059,69,20.8,9.9,0.301,0.334,20.9,49.7,29.3,73,8.2,93.9,127,1.2806,5.6382,5.934,96.2,93.73622047,2257,0.5238,0.5468,0.164,0.070866142,0.204724409,1.7,1.7,18,1.4052,5.486,5.887,88.3,86.04444444,1673.5,0.9397,0.1018,0.485,0.157894737,0.157894737,4.2,4.2,40,1.23925,5.6031,5.813,88.4,85.7775,2334,-0.66115,-0.2438,0.064,0.222222222,0.288888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
605130,Scott Barlow,R,2019,27,1300,70.1,29.7,11.9,0.302,0.379,22.8,45.5,33.8,41,26.4,43,559,-1.6241,5.3995,6.883,97.2,94.07889088,2290,-0.392,1.0864,0.246,0.1019678,0.27549195,0.1,0.1,2,-1.99195,5.26995,7.0885,88,87.25,1592.5,-1.05525,0.68495,1.797,0,0,56.8,43.5,500,-1.97495,5.2588,6.3685,88.9,83.6146,2453,0.69745,-0.2956,0.132,0.167844523,0.340989399,56.8,13.3,173,-1.5234,5.553,6.446,80.3,77.18208092,2529,1.2504,-1.0027,0.472,0.208092486,0.341040462
623184,Scott Oberg,R,2017,27,991,58.1,20.8,9.1,0.312,0.355,18.8,56,25.2,57.6,16.3,56.2,557,-1.8393,5.9309,6.239,101,96.24290844,2237,-0.4381,1.0022,0.259,0.087971275,0.263913824,8.9,8.9,88,-1.85805,5.7344,6.562,92.5,89.85795455,1943.5,-0.926,0.5652,0.162,0.123595506,0.179775281,34.8,34.5,274,-1.8336,5.91715,5.8835,95.6,88.8770073,2584.5,0.50095,0.22255,0.229,0.17251462,0.289473684,34.8,0.3,2,-2.34645,5.7326,5.6655,83.4,82.2,2694.5,1.23505,0.20365,NA,0.25,0.25
623184,Scott Oberg,R,2018,28,907,58.2,25,5.3,0.289,0.356,18.3,50.9,27.9,57.7,12.8,54.9,498,-1.39535,5.84695,6.282,98.4,95.27751004,2252,-0.1574,1.0484,0.277,0.108433735,0.251004016,7.6,7.6,69,-1.4608,5.7024,6.583,91.3,88.58695652,1907,-1.0224,0.4433,0.393,0.101449275,0.173913043,37.4,37.3,245,-1.4358,5.7865,5.971,90.6,86.85795918,2586,0.4841,-0.0986,0.274,0.174041298,0.309734513,37.4,0.1,1,-1.2218,5.7953,5.227,76.3,76.3,2977,1.1221,-0.9966,NA,0,1
623184,Scott Oberg,R,2019,29,898,56,26,10.3,0.291,0.351,20.8,49.1,27.9,51.4,19,52.2,469,-1.3659,5.6896,6.257,97,94.29658849,2231,-0.1637,1.0561,0.148,0.1108742,0.328358209,4.4,4.4,40,-1.3666,5.54635,6.685,89.8,87.9125,1952,-1.0609,0.47245,0.5355,0.075,0.125,43.3,43.3,261,-1.395,5.6624,5.876,88.9,85.72528736,2546,0.5042,-0.1044,0.197,0.143958869,0.277634961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640455,Sean Manaea,L,2017,25,2685,158.2,20.2,7.9,0.338,0.388,15.6,49.7,25.4,44.2,24.5,58.2,1561,3.2775,5.3735,6.581,95.7,91.68577835,1983,1.1486,0.8894,0.267,0.067774936,0.252557545,24.3,24.3,637,3.2159,5.6246,6.192,87.7,83.47315542,1194,0.7197,0.0252,0.307,0.171253823,0.331804281,17.3,17.3,449,3.1609,5.4899,6.296,83.6,79.91982183,2019,-0.18,0.0357,0.143,0.186295503,0.301927195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640455,Sean Manaea,L,2016,24,2167,144.2,20.9,6.2,0.322,0.382,16,51.1,25.2,45.9,20.5,58.5,1215,3.3506,5.3838,6.862,97,92.93868313,2005,1.430058333,1.0643,0.267,0.067774936,0.252557545,28.7,28.7,590,3.31515,5.55825,6.5235,88.5,85.15220339,1304,1.025779167,0.199283333,0.307,0.171253823,0.331804281,12.7,12.7,208,3.2834,5.44365,6.519,84.1,80.47211538,2040.5,0.007079167,0.0925,0.143,0.186295503,0.301927195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
640455,Sean Manaea,L,2018,26,2346,160.2,16.5,4.9,0.329,0.372,13.9,54.5,20.2,46,23.9,55.9,1313,3.6356,5.5469,6.667,93.7,90.44493526,1986,1.2052,0.8215,0.221,0.062452399,0.252856055,31.4,31.4,716,3.5918,5.82345,6.214,86.7,82.39217877,1158,0.77505,-0.0132,0.232,0.143437077,0.269282815,12.5,12.5,279,3.4802,5.6585,6.333,82.7,78.09713262,1925,-0.1422,0.0043,0.138,0.138983051,0.288135593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
656794,Sean Newcomb,L,2018,25,2919,164,23,11.6,0.301,0.338,19.7,47.2,24.9,44.1,24.4,62.2,1817,2.2314,6.5574,5.574,97,92.9970831,2185,0.554,1.4055,0.216,0.089157953,0.275729224,19.1,19.1,558,2.1113,6.63655,5.799,90.3,86.2625448,1596,1.0043,0.7726,0.172,0.132142857,0.226785714,18.5,4.2,124,2.2489,6.3676,5.253,88.7,80.48225806,2596.5,-0.96565,-0.31455,0.507,0.152,0.32,18.5,14.2,417,2.2066,6.6401,5.036,80.9,76.7616307,2714,-0.7714,-1.474,0.171,0.081534772,0.24940048
656794,Sean Newcomb,L,2017,24,1831,100,23.7,12.5,0.333,0.388,20.3,44.7,27.3,46,21.1,63.1,1157,2.6353,6.2465,5.743,98.4,93.79827139,2198,0.7118,1.4971,0.2895,0.087294728,0.278305964,10.8,10.8,197,2.6277,6.2693,6.049,88.9,85.95736041,1586,1.1117,0.9017,0.1545,0.191919192,0.252525253,25.9,4.4,81,2.7493,6.1806,5.24,84.2,80.73580247,2702,-1.1716,-0.227,0.381,0.185185185,0.320987654,25.9,21.5,395,2.6942,6.2413,5.42,82.8,78.33265823,2782,-0.7877,-1.1085,0.1905,0.13164557,0.273417722
656794,Sean Newcomb,L,2019,26,1181,68.1,22.2,9.9,0.302,0.341,18.2,49.1,22.9,50.5,23,65.1,770,1.7286,6.4992,5.5735,97.4,94.32415584,2234,0.44765,1.39645,0.215,0.080519481,0.248051948,6.9,6.9,82,1.92065,6.4331,5.8145,89.7,87.35731707,1591.5,1.01885,0.6934,0.409,0.12195122,0.243902439,27.8,8.1,96,1.8462,6.2842,5.2105,83.7,81.35833333,2852.5,-1.1932,-0.61395,0.3,0.083333333,0.239583333,27.8,19.7,233,1.7189,6.5515,5.067,82,78.81158798,2875,-0.7077,-1.5097,0.1385,0.124463519,0.313304721
622554,Seranthony Dominguez,R,2018,24,931,58,32,9.5,0.252,0.314,25.7,49.7,34.9,55.7,21.4,66.5,620,-2.3268,5.53965,6.2355,100.9,98.00096774,2342.5,-0.10165,1.029,0.177,0.106451613,0.312903226,6.4,6.4,60,-2.35705,5.4655,6.56,93.3,91.08166667,1712.5,-1.30155,0.50765,0.0955,0.183333333,0.266666667,26.9,26.9,184,-2.17815,5.64255,6,93.1,88.79565217,2475,0.43665,0.05715,0.165,0.274900398,0.406374502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489265,Sergio Romo,R,2018,35,1129,67.1,26.4,7,0.289,0.359,23.2,43.8,31.8,37.6,30.6,29.9,164,-2.8096,5.073,6.1295,88.7,86.39695122,2269.5,-1.032,1.1043,0.268,0.085365854,0.37195122,12,12,136,-2.86065,5.00675,6.151,82.3,80.43308824,2072,-1.5733,0.3761,0.1225,0.154411765,0.242647059,58,58,607,-3.0407,4.8062,5.91,80.4,76.77495881,2862,1.392,0.6604,0.142,0.155725191,0.317557252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489265,Sergio Romo,R,2019,36,995,60.1,24.1,6.8,0.273,0.33,20.1,41.8,30.3,36.5,28.8,24.3,100,-2.75045,5.0616,6.1785,88,86.5,2309,-1.14665,0.9658,0.259,0.04,0.32,16,16,160,-2.79135,5.03795,6.0605,82,80.16125,2151.5,-1.665,0.2311,0.1525,0.1625,0.20625,59.5,59.5,515,-2.9858,4.7872,5.824,82.1,77.2607767,2849,1.3063,0.739,0.1475,0.15851602,0.344013491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489265,Sergio Romo,R,2017,34,907,55.2,26.3,8.5,0.293,0.363,24.6,41.6,34.4,37.9,24.8,34.2,169,-2.8219,5.0504,6.219,89.2,86.41893491,2306,-1.1103,1.1118,0.1455,0.035502959,0.278106509,7.2,7.2,66,-2.85805,4.97655,6.3495,82.7,80.5530303,1969,-1.5939,0.3915,0.177,0.227272727,0.272727273,58.4,58.4,488,-2.9761,4.7989,5.9635,82,76.87520492,2910,1.2861,0.6585,0.164,0.179245283,0.350943396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
