"","player_name","year","pitcher","player_age","n","p_formatted_ip","p_k_percent","p_bb_percent","xwoba","xwobacon","z_swing_miss_percent","in_zone_percent","whiff_percent","groundballs_percent","flyballs_percent","n_fastball_formatted","N_FB","Rel_X_FB","Rel_Z_FB","Extension_FB","Max_Velo_FB","Avg_Velo_FB","Spin_FB","H_Break_FB","V_Break_FB","xwOBA_FB","SwStr_FB","CSW_FB","swstr_fb_pred","n_offspeed_formatted","n_ch_formatted","N_CH","Rel_X_CH","Rel_Z_CH","Extension_CH","Max_Velo_CH","Avg_Velo_CH","Spin_CH","H_Break_CH","V_Break_CH","xwOBA_CH","SwStr_CH","CSW_CH","swstr_ch_pred","n_breaking_formatted","n_sl_formatted","N_SL","Rel_X_SL","Rel_Z_SL","Extension_SL","Max_Velo_SL","Avg_Velo_SL","Spin_SL","H_Break_SL","V_Break_SL","xwOBA_SL","SwStr_SL","CSW_SL","n_cukc_formatted","N_CB","Rel_X_CB","Rel_Z_CB","Extension_CB","Max_Velo_CB","Avg_Velo_CB","Spin_CB","H_Break_CB","V_Break_CB","xwOBA_CB","SwStr_CB","CSW_CB","swstr_cb_pred","swstr_sl_pred","MaxBB","Team","Age","K.9","BB.9","K.BB","HR.9","WHIP","ERA","FIP","xFIP","SIERA","WAR","Dollars","playerid","arsenal_pred","urs_arsenal_pred","FIP_pred","use_FIP_pred","FB_Grade","CH_Grade","CB_Grade","SL_Grade","ARS_Grade","USE_ARS_Grade","Pres_Grade","USE_Pres_Grade"
"536","Liam Hendriks",2017,521230,28,1162,64,28.6,8.4,0.307,0.395,18.8,47.3,27.5,41.3,25,74,861,-1.79,6.1444,6.443,97.2,94.77224158,2245,-0.6205,1.5112,0.263,0.096399535,0.269454123,0.097027755,0.4,0.4,5,-1.9107,6.2103,6.582,89.7,88.16,1849,-1.1625,1.4078,NA,0.2,0.2,0.162084908,25.4,22,255,-1.8596,6.1468,6.407,89.5,87.25529412,2052,0.2898,0.4627,0.1815,0.203125,0.23046875,3.4,40,-1.6091,6.1701,6.16,83.2,78.405,1932,0.3259,-0.70185,0.313,0.195121951,0.292682927,0.154328025,0.175494436,0.175494436,"Athletics",28,10.97,3.23,3.39,0.98,1.25,4.22,3.22,3.66,3.31,1,"$7.70 ",3548,3.822026,3.70915133333334,3.78863366666667,3.73551933333334,60,60,70,60,60,60,60,60
"537","Logan Verrett",2016,548337,26,1558,91.2,16.3,10.6,0.38,0.419,12.1,48.7,19.6,46.4,23.2,57.3,887,-1.4695,6.1547,6.421,94.7,90.65276212,2179,-0.798,1.510066667,0.158,0.088607595,0.253164557,0.079279121,9.8,9.8,151,-1.7453,5.8865,6.542,86.9,84.25496689,1756,-1.229416667,0.7762,0.143,0.25,0.3125,0.184968024,32.7,25,367,-1.7424,5.9931,6.11,87,83.86702997,2210,-0.269166667,0.3161,0.2885,0.226415094,0.396226415,7.7,107,-1.3511,6.2732,5.861,80.9,77.40747664,2257,-0.05485,-0.240033333,0.703,0,0.125,0.029784107,0.194623913,0.194623913,"Mets",26,6.48,4.22,1.53,1.57,1.56,5.2,5.51,4.97,5.01,-0.7,"($5.90)",12905,4.44561866666667,4.56557266666666,4.660958,4.69193533333333,50,60,30,65,50,40,40,40
"538","Louis Coleman",2018,488786,32,835,51.1,18.9,11.1,0.301,0.309,19.9,40.6,27.5,44.5,18.5,54.2,453,-3.9214,4.7446,6.738,92,89.13289183,2262,-0.8452,0.9642,0.1725,0.097130243,0.267108168,0.096383227,0.7,0.7,6,-4.00405,4.5801,6.693,85.4,84.53333333,2033,-1.1284,0.09635,NA,0,0,0.105968466,45,44.9,306,-3.81885,4.8306,6.382,85.5,82.94183007,2375,0.41805,0.109,0.185,0.144,0.296,0.1,1,-4.2411,4.5035,5.894,73.6,73.6,2305,0.7738,-0.143,NA,0,0,0.035911897,0.142679336,0.142679336,"Tigers",32,7.19,4.21,1.71,0.88,1.31,3.51,4.58,4.89,4.6,0.1,"$0.80 ",9720,4.83664266666666,4.53336033333334,4.90884066666667,4.70800666666667,60,40,30,50,40,50,35,40
"539","Lucas Giolito",2017,608337,23,701,45.1,19,6.7,0.31,0.346,13.5,47.4,22.5,46.9,17.7,59.7,419,-2.3817,6.6364,6.661,95.8,92.27852029,2100,-0.7492,1.4412,0.203,0.090692124,0.255369928,0.083323822,16.4,16.4,114,-2.49125,6.5965,6.813,83.5,81.55964912,1640.5,-0.77675,0.99,0.1655,0.182608696,0.313043478,0.185203849,23.8,12.4,83,-2.4585,6.6403,6.143,85.9,83.93012048,2112,0.0043,0.0967,0.367,0.114942529,0.206896552,11.4,79,-2.4054,6.6879,6.327,81,78.2835443,2558,0.1421,-1.3585,0.4075,0.025,0.1,0.056154114,0.141987857,0.141987857,"White Sox",22,6.75,2.38,2.83,1.59,0.95,2.38,4.94,4.42,4.49,0.3,"$2.50 ",15474,4.24312400000001,4.380794,4.164104,4.252373,50,60,35,50,50,50,50,50
"540","Lucas Giolito",2018,608337,24,3005,173.1,16.1,11.6,0.35,0.366,14.6,48.6,21.6,45.1,24.8,59.4,1786,-2.4531,6.53125,6.357,96.6,92.37200448,2065,-0.8458,1.21325,0.234,0.046446558,0.247341914,0.054548414,15.6,15.6,469,-2.3001,6.52,6.549,85.3,81.72899787,1649,-0.9521,0.7243,0.25,0.163481953,0.295116773,0.176017284,24.8,14.7,440,-2.5865,6.5415,5.865,88.2,83.88113636,2015,0.2392,0.2003,0.224,0.164414414,0.286036036,10,303,-2.3219,6.6621,5.913,82.7,78.58316832,2369,0.6901,-1.1281,0.16,0.066006601,0.188118812,0.080497515,0.154502769,0.154502769,"White Sox",23,6.49,4.67,1.39,1.4,1.48,6.13,5.56,5.46,5.37,0.1,"$0.50 ",15474,5.02754066666667,5.16821366666667,5.10753966666667,5.29911266666667,35,60,50,50,35,30,35,30
"541","Lucas Giolito",2019,608337,25,2814,176.2,32.3,8.1,0.28,0.374,26.3,54.3,32.5,36.3,23.8,55,1548,-1.2572,6.55655,6.6465,97.7,94.23901809,2338,-0.64055,1.51105,0.191,0.11369509,0.293927649,0.096439311,26.1,26.1,735,-1.3221,6.5183,6.763,87.5,81.66557823,1557,-0.8569,1.0266,0.191,0.221467391,0.385869565,0.197912014,18.8,14.7,414,-1.402,6.5759,6.3085,88.6,84.55048309,2040.5,0.23645,0.4841,0.366,0.190821256,0.306763285,4.1,116,-1.2091,6.7843,5.9415,82.6,79.39051724,2548,0.56875,-1.28035,0.701,0.051724138,0.206896552,0.068768196,0.173580807,0.173580807,"White Sox",24,11.62,2.9,4,1.22,1.06,3.41,3.43,3.66,3.57,5.1,"$40.50 ",15474,3.65803233333334,3.68638733333334,3.67943866666667,3.63808566666667,60,65,40,60,65,65,60,65
"542","Lucas Harrell",2016,449173,31,833,47,17.3,12,0.338,0.351,13.5,40.7,20.1,44.8,20.3,57.8,92,-2.1794,6.0592,6.454,94.4,92.2076087,2237,-0.561416667,1.665583333,NA,0.5,1,0.275344019,8.2,8.2,67,-2.3978,6.0744,6.284,90.5,84.56567164,1715,-1.150091667,0.872233333,0.51,0.25,0.25,0.194507858,33.8,19.4,109,-2.1037,6.1231,6.097,93.3,87.51100917,2293,0.206783333,0.704533333,0.284,0.0625,0.28125,14.4,115,-2.3209,6.0513,5.984,84.6,81.7026087,2272,0.558875,-0.916566667,NA,0,0.153846154,0.047521977,0.090595826,0.090595826,"- - -",31,6.89,4.79,1.44,0.77,1.51,4.21,4.57,5.1,5.2,0.5,"$3.70 ",7541,4.57218066666666,4.60149033333332,4.82178833333333,4.84496233333333,80,65,35,30,40,40,40,40
"543","Lucas Sims",2017,608371,23,985,57.2,17.3,9,0.344,0.38,13.9,47.4,20.6,40.2,27.2,46.8,246,-1.9438,5.8331,5.244,94.4,91.21910569,2377,-0.49325,1.36685,0.199,0.056910569,0.260162602,0.062471586,12.9,12.9,128,-2.13805,5.49935,5.2745,86.3,83.5484375,1753.5,-1.4469,0.31665,0.342,0.125,0.21875,0.142741359,40.2,27.1,265,-2.1727,5.5137,5.024,89.2,86.4090566,2459,0.3828,0.5276,0.141,0.101123596,0.303370787,13,129,-1.9557,5.5603,4.764,82.7,76.70232558,2829,1.2299,-0.4981,0.21,0.108527132,0.271317829,0.104743155,0.116132968,0.116132968,"Braves",23,6.87,3.59,1.91,1.4,1.51,5.62,5.07,5.16,5.05,0.1,"$0.90 ",13470,4.93139733333333,5.067695,5.05238566666667,5.05075166666667,40,50,50,35,35,35,35,35
"544","Lucas Sims",2019,608371,25,751,43,32.2,10.7,0.271,0.339,23.4,41.1,34.1,26.3,39.4,50.5,376,-1.8645,5.4634,5.682,95.9,93.50638298,2647.5,-0.78145,1.44125,0.139,0.114361702,0.234042553,0.101568834,5.5,5.5,41,-1.9235,5.4349,5.63,88.6,86.52195122,1934,-1.2425,0.1525,0.715,0.238095238,0.380952381,0.19260997,43.8,19,105,-2.0755,5.2607,5.224,87,83.15904762,3034,0.9862,0.4352,0.1355,0.244755245,0.433566434,24.7,157,-1.9724,5.3879,5.148,84.6,81.41019108,3140,1.0036,-0.4418,0.137,0.129032258,0.338709677,0.124021587,0.212177895,0.212177895,"Reds",25,11.93,3.98,3,1.67,1.16,4.6,4.45,4.57,3.83,0.4,"$2.90 ",13470,3.97000233333332,4.02331766666666,4.18283766666666,4.14189099999999,60,65,60,70,60,50,50,50
"545","Luis Castillo",2017,622491,25,1483,89.1,27.3,8.9,0.266,0.317,22.3,50.3,28.4,59.7,19,62.3,924,-2.31195,5.5899,5.69,100.3,97.29545455,2242.5,-1.0349,1.30485,0.226,0.085497835,0.258658009,0.088334979,22.4,22.4,332,-2.45765,5.34705,5.8495,89.3,87.24457831,1854,-1.29305,0.45405,0.166,0.228228228,0.339339339,0.180628134,15.2,15.2,223,-2.3419,5.4601,5.47,88.6,84.9367713,2248,-0.0507,0.2695,0.147,0.150442478,0.296460177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165879357,0.165879357,"Reds",24,9.87,3.22,3.06,1.11,1.07,3.12,3.74,3.41,3.63,1.9,"$14.90 ",15689,3.64764400000001,3.69308400000001,3.747139,3.72523733333334,50,60,NA,50,65,65,60,60
"546","Luis Castillo",2018,622491,26,2772,169.2,23.3,6.9,0.32,0.388,22.5,51,28.8,47.9,20.4,57.1,1584,-2.517,5.5767,5.445,99.1,95.74684343,2170,-1.2486,0.9841,0.2585,0.071338384,0.251893939,0.07191131,26.4,26.4,732,-2.66905,5.3026,5.6185,89.9,86.22650273,1929.5,-1.40515,0.2628,0.1805,0.259562842,0.342896175,0.218420867,16.4,16.4,446,-2.7525,5.34005,5.1785,88.4,83.57286996,2211.5,0.00895,0.02185,0.253,0.162280702,0.353070175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165331617,0.165331617,"Reds",25,8.75,2.6,3.37,1.49,1.22,4.3,4.32,3.69,3.85,2.1,"$16.90 ",15689,3.81026566666667,3.857074,3.768399,3.86846033333334,50,70,NA,50,60,60,60,60
"547","Luis Castillo",2019,622491,27,3069,190.2,28.9,10.1,0.277,0.336,25,41.6,36,56.5,19.8,50.5,1552,-2.5455,5.3752,5.339,99.7,96.41527062,2134,-1.27015,0.8586,0.239,0.075386598,0.262886598,0.079523295,32.5,32.5,998,-2.6488,5.0963,5.4645,90.3,87.16482966,1972,-1.3985,0.24955,0.152,0.268537074,0.330661323,0.20535838,16.9,16.9,509,-2.6765,5.1721,5.118,89.5,85.88212181,2335,-0.0419,0.0455,0.16,0.194719472,0.351485149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.190500872,0.190500872,"Reds",26,10.67,3.73,2.86,1.04,1.14,3.4,3.7,3.48,3.95,4.1,"$32.50 ",15689,3.72495966666667,3.658635,3.87722133333333,3.77444233333333,50,65,NA,65,60,65,60,60
"548","Luis Cessa",2016,570666,24,1051,70.1,16.1,4.9,0.334,0.376,15.6,48.5,24.1,44.6,24.8,50.1,521,-0.8648,5.957,5.609,98.7,95.22456814,2233,-0.777125,1.5588,0.243,0.045801527,0.232824427,0.072488322,10.6,10.6,111,-1.0189,5.9676,5.759,87.8,85.46846847,1692,-1.077725,0.925266667,0.159,0.083333333,0.166666667,0.095343025,39.2,22.7,188,-1.04095,5.8318,5.4885,88.7,85.78191489,2383,-0.056241667,0.500283333,0.3865,0.20855615,0.352941176,16.4,133,-1.0478,5.989,5.386,84.7,81.16240602,2466,0.511558333,-0.179833333,0.378,0.054545455,0.436363636,0.070590213,0.186779703,0.186779703,"Yankees",24,5.89,1.79,3.29,2.05,1.11,4.35,5.52,4.51,4.42,0,"$0.00 ",13345,4.49630633333333,4.25442533333333,4.10645299999999,4.078504,50,40,40,60,50,50,50,50
"549","Luis Cessa",2018,570666,26,704,44.2,20,6.7,0.332,0.391,17,46.2,27,48.3,18.2,41.6,293,-1.4111,6.1182,5.438,97.8,94.77883959,2334,-0.6648,1.2839,0.4465,0.04778157,0.235494881,0.060564353,12.9,12.9,91,-1.5983,6.0991,5.544,88.7,86.07362637,1617,-0.9642,0.7794,0.128,0.153846154,0.274725275,0.135668923,45.4,42.3,297,-1.6215,6.0834,5.143,86.8,83.70875421,2475,0.1465,-0.1002,0.198,0.177852349,0.348993289,3.1,22,-1.58405,6.14495,5.1285,82.6,80.50909091,2490,0.4914,-0.63325,0.853,0.045454545,0.363636364,0.064218211,0.170788189,0.170788189,"Yankees",26,7.86,2.62,3,1.01,1.43,5.24,3.74,3.84,3.91,0.4,"$3.10 ",13345,4.11247199999999,4.05358999999999,4.04974833333333,3.94007933333333,40,50,40,60,50,50,50,60
"550","Luis Cessa",2019,570666,27,1351,81,21.9,9,0.295,0.334,17.9,43.7,29.3,48.3,22.6,41.8,566,-1.08545,6.133,5.4,97.9,94.42773852,2291,-0.82195,1.3133,0.242,0.054770318,0.233215548,0.062651159,7.2,7.2,98,-1.23865,6.0961,5.493,89.4,87.05204082,1613.5,-1.0318,0.6986,0.151,0.12244898,0.204081633,0.123284977,50.8,49.8,673,-1.2337,6.1021,5.334,87.8,84.851263,2490,0.0694,0.0745,0.165,0.191394659,0.336795252,0.9,13,-1.4295,6.1687,5.162,82.3,80.75384615,2393,0.3456,-0.4105,0.027,0,0.461538462,0.041315658,0.176768305,0.176768305,"Yankees",27,8.33,3.44,2.42,1.56,1.31,4.11,4.87,4.51,4.3,0.1,"$0.50 ",13345,4.45635833333333,4.30066533333333,4.46627266666667,4.39162233333333,40,50,30,60,50,50,50,50
"551","Luis Severino",2016,622663,22,1264,71,21.2,8,0.338,0.396,16.8,48.1,22.8,45.4,19.3,57.1,705,-2.0517,6.0831,6.143,99.9,96.58751773,2343,-0.58925,1.6018,0.262,0.098609355,0.309734513,0.105471512,9,9,114,-2.11585,5.7755,6.3295,91.7,89.22368421,1830,-1.312220833,1.0815,0.201,0.126794258,0.272727273,0.125541188,33.8,33.8,238,-2.1547,5.9453,5.9375,97.7,88.77563025,2475,0.513645833,0.182083333,0.192,0.177613321,0.308973173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185047549,0.185047549,"Yankees",22,8.37,3.17,2.64,1.39,1.45,5.83,4.48,4.04,4.06,0.6,"$5.20 ",15890,3.97356733333333,3.93793233333333,3.84608399999999,3.90268966666666,65,50,NA,60,60,60,60,60
